CASEID,POINT_X,POINT_Y,YEAR_,LOCATION,CHPTYPE,DAYWEEK,CRASHSEV,VIOLCAT,KILLED,INJURED,WEATHER1,PEDCOL,BICCOL,MCCOL,TRUCKCOL,ETOH,TIMECAT,MONTH_,CRASHTYP,INVOLVE,PED,PRIMARYRD,SECONDRD,DISTANCE,DIRECT,INTERSECT_,PROCDATE,JURIS,DATE_,TIME_,BADGE,JURIDIST,SHIFT,POP,SPECIAL,BEATTYPE,LAPDDIV,BEATCLAS,BEATNUMB,WEATHER2,STATEHW,CALTRANC,CALTRAND,STROUTE,ROUTESUF,POSTPRE,POSTMILE,LOCATYPE,RAMP,SIDEHW,TOWAWAY,PARTIES,PCF,VIOLCODE,VIOL,VIOLSUB,HITRUN,ROADSURF,RDCOND1,RDCOND2,LIGHTING,RIGHTWAY,CHPRDTYP,NOTPRIV,STFAULT,CHPFAULT,SEVINJ,OTHERINJ,COP,PEDKILL,PEDINJ,BICKILL,BICINJ,MCKILL,MCINJURE,RAMP1,RAMP2,CITY,COUNTY,STATE,X_CHP,Y_CHP
6053557,-122.216718,37.79814911,2013,109,1,5,3,1,0,1,A,,,,,Y,300,4,E,I,A,RT 580,FRUITVALE BL,110,E,N,2/18/14,9370,4/12/13,240,20459,,3,7,0,1,,2,53,-,Y,,0,0,,,0,,,,Y,1,A,-,23152,A,N,A,H,-,D,D,0,Y,A,1,0,1,0,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6053553,-122.2493008,37.78782784,2013,109,1,4,4,7,0,1,A,,,Y,,,1500,4,B,C,A,RT 880,16TH AV,1300,N,N,1/22/15,9370,4/11/13,1233,19801,,1,7,0,1,,2,177,-,Y,ALA,4,880,-,-,29.94,H,-,S,N,2,A,-,21658,A,M,A,D,-,A,D,1,Y,A,1,0,0,1,0,0,0,0,0,1,-,-,OAKLAND,ALAMEDA,CA,-122.25037,37.7882
6053514,-122.2649741,37.79421062,2013,109,1,6,3,8,0,1,A,,,,,,300,4,B,C,A,RT 880,OAK ST,330,S,N,12/11/14,9370,4/20/13,0,20506,,3,7,0,1,,2,177,-,Y,ALA,4,880,-,-,31.03,H,-,S,Y,2,A,-,22107,,F,A,H,-,D,D,1,Y,A,1,0,1,0,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,-122.1556,37.47401
6053342,-122.227472,37.77837372,2013,109,0,5,4,3,0,1,A,,,,,,2100,2,C,C,A,INTERNATIONAL BL,DERBY AV,20,W,N,1/24/14,109,2/8/13,1915,8079,1,5,7,0,0,,0,20,-,N,,0,0,,,0,,,,N,2,A,-,22350,,N,A,H,-,C,D,0,Y,A,1,0,0,1,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6053334,-122.2742531,37.81741333,2013,109,0,7,4,9,0,4,A,,,,,,2100,2,D,C,A,27TH ST,WEST ST,0,,Y,1/24/14,109,2/17/13,1855,7975,1,5,7,0,0,,0,6,-,N,,0,0,,,0,,,,Y,2,A,-,21801,A,N,A,H,-,C,A,0,Y,A,1,0,0,4,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6053314,-122.1747681,37.76754761,2013,109,0,7,4,3,0,2,B,,,,,,1800,3,C,C,A,73RD AV,GARFIELD ST,350,N,N,2/28/14,109,3/31/13,1647,8886,2,5,7,0,0,,0,30Y,-,N,,0,0,,,0,,,,N,2,A,-,22350,,N,A,H,-,A,D,0,Y,A,1,0,0,2,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6053306,-122.2171631,37.77065659,2013,109,0,4,4,9,0,1,A,,,,,,1500,3,D,C,A,SAN LEANDRO ST,HIGH ST,0,,Y,2/28/14,109,3/14/13,1435,8585,2,5,7,0,0,,0,26X,-,N,,0,0,,,0,,,,Y,2,A,-,21801,A,N,A,H,-,A,A,0,Y,-,-,0,0,1,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6052926,-122.2679898,37.81603622,2013,109,0,2,4,21,0,2,A,,,,,,1800,4,C,C,A,TELEGRAPH AV,27TH ST,25,S,N,2/13/14,109,4/23/13,1515,8662,1,5,7,0,0,,0,08X,-,N,,0,0,,,0,,,,N,2,A,-,22106,,N,A,H,-,A,A,0,Y,A,1,0,0,2,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6052922,-122.2629431,37.80107498,2013,109,0,6,4,9,0,5,A,,,,,,2400,4,D,C,A,14TH ST,OAK ST,0,,Y,2/13/14,109,4/27/13,2300,9107,1,5,7,0,0,,0,04X,-,N,,0,0,,,0,,,,Y,2,A,-,21801,A,N,A,H,-,C,A,0,Y,A,1,0,0,5,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6052914,-122.2428931,37.79191589,2013,109,0,6,4,3,0,1,A,,,,,,1500,4,C,C,A,14TH AV,E 18TH ST,0,,Y,2/13/14,109,4/6/13,1439,8134,1,5,7,0,0,,0,20X,-,N,,0,0,,,0,,,,N,3,A,-,22350,,F,A,H,-,A,A,0,Y,A,1,0,0,1,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
